Slide,Number,Comment,   SiO2  ,   MgO   ,   CaO   ,   Nd2O3 ,   Ce2O3 ,   La2O3 ,   Y2O3  ,   Pr2O3 ,   Gd2O3 ,   Eu2O3 ,   Al2O3 ,   F     ,   Sm2O3 ,   FeO   ,   MnO   ,   TiO2  ,   Cl    ,   Na2O  ,   K2O   ,  Total  ,Si_T,Al_T,Sum_T,Al_M,Ti_M,Cr_M,Fe_M,Mn_M,Mg_M,M_Sum,Ca_I,Na_I,K_I,Ba_I,Total_Cations,F_A,Cl_A,OH_A,XAlcel,XFeAlcel,Xprl,Xmrg,Xpg,Xms,XTriOct,Xphl,Xann,Xeas,Xsid,XDiOct,,,,,
EDC08,164,EDC08#2 16 EDC08#2-big_bt-16 ,40.881,23.093,0.007,0.149,0.006,0,0,0.029,0.05,0.021,13.053,1.815,0,5.362,0.052,1.366,0.165,0.113,10.37,95.731,2.947278896,1.052721104,4,0.056345379,0.074087602,0,0.323285651,0.003175279,2.481895768,2.938789678,0.000540706,0.015794839,0.953744913,0,7.908870137,0.413828197,0.020161323,1.566010479,0.054156083,0.007054238,0,0,0,0,0.938789678,0.786807975,0.102487676,0.043790044,0.005703984,0.061210322,,,,,
EDC08,166,EDC08#2 18 EDC08#2big_bt-18 ,40.852,23.177,0.003,0.073,0,0.01,0.011,0.103,0.01,0.028,13.003,1.749,0.032,5.492,0.053,1.332,0.162,0.057,10.427,95.801,2.944898166,1.055101834,4,0.049607541,0.072236434,0,0.331091006,0.003236023,2.490678307,2.946849311,0.000231708,0.007966524,0.958892863,0,7.913940406,0.398740633,0.019792805,1.581466562,0.046914278,0.006236412,0,0,0,0,0.946849311,0.789699759,0.104976418,0.046051423,0.006121711,0.053150689,,,,,
EDC08,167,EDC08#2 19 EDC08#2big_bt-19 ,41.262,23.431,0.011,0,0,0,0.01,0.064,0,0.018,13.097,1.886,0.011,5.328,0.044,1.326,0.153,0.083,10.461,96.356,2.949969867,1.050030133,4,0.053506237,0.071319115,0,0.318560128,0.002664396,2.497247507,2.943297383,0.000842604,0.011504889,0.954100804,0,7.90974568,0.426434879,0.018539333,1.555025788,0.050287693,0.006414924,0,0,0,0,0.943297383,0.794725348,0.101378741,0.041854185,0.005339108,0.056702617,,,,,
EDC08,168,EDC08#2 20 EDC08#2big_bt-20 ,40.751,23.141,0.013,0.082,0,0.013,0,0.132,0,0,12.947,1.93,0,5.317,0.049,1.298,0.147,0.07,10.45,95.494,2.947615253,1.052384747,4,0.051310549,0.070632134,0,0.321631874,0.003001977,2.495273223,2.941849758,0.001007487,0.009816747,0.964278691,0,7.916952683,0.441502899,0.018021263,1.540475838,0.051510696,0.006639546,0,0,0,0,0.941849758,0.790605013,0.101906184,0.043705125,0.005633436,0.058150242,,,,,
EDC08,169,EDC08#2 21 EDC08#2big_bt-21 ,40.677,23.08,0.004,0.029,0,0,0,0.027,0,0,12.942,1.826,0,5.389,0.037,1.257,0.164,0.069,10.467,95.162,2.947285724,1.052714276,4,0.052438297,0.068517848,0,0.326543772,0.002270669,2.492944377,2.942714963,0.000310525,0.009693028,0.967496279,0,7.920214795,0.418425192,0.020139679,1.561435129,0.050650474,0.006634563,0,0,0,0,0.942714963,0.78959376,0.103426666,0.043939081,0.005755457,0.057285037,,,,,
EDC08,171,EDC08#2 23 EDC08#2-feathery_bt-23 ,40.694,23.042,0,0,0,0.022,0,0.081,0.004,0,12.935,1.817,0,5.345,0.063,1.33,0.159,0.081,10.492,95.264,2.94689992,1.05310008,4,0.050848787,0.072457236,0,0.323699935,0.003864153,2.487474502,2.938344612,0,0.011372529,0.96927507,0,7.918992211,0.416134439,0.019514953,1.564350608,0.05455592,0.007099469,0,0,0,0,0.938344612,0.786207689,0.102310748,0.044088811,0.005737363,0.061655388,,,,,
EDC08,173,EDC08#2 25 EDC08#2-feathery_bt-25 ,40.772,23.012,0.08,0.008,0,0,0,0.005,0,0.012,12.964,1.881,0,5.43,0.049,1.388,0.151,0.064,10.379,95.369,2.946608679,1.053391321,4,0.050806763,0.075464905,0,0.328186093,0.002999406,2.479238301,2.936695468,0.006194613,0.008967625,0.956906962,0,7.908764669,0.429925267,0.018495785,1.551578948,0.055904273,0.007400259,0,0,0,0,0.936695468,0.783031267,0.103652792,0.044165107,0.005846301,0.063304532,,,,,
EDC08,175,EDC08#2 27 EDC08#2-feathery_bt-27 ,41.314,23.136,0.015,0.033,0,0,0,0.034,0.023,0,13.265,1.862,0.111,5.468,0.046,1.286,0.146,0.07,10.478,96.47,2.953258689,1.046741311,4,0.070788245,0.069157666,0,0.326883235,0.0027851,2.465448754,2.935063,0.001148839,0.00970151,0.955512546,0,7.901425895,0.420947222,0.01768856,1.561364218,0.057335176,0.007601824,0,0,0,0,0.935063,0.787010585,0.104346345,0.038589637,0.005116434,0.064937,,,,,
EDC08,176,EDC08#2 28 EDC08#2-feathery_bt-28 ,40.813,23.051,0.001,0.101,0,0.043,0,0.051,0.001,0,12.94,1.813,0.056,5.331,0.042,1.328,0.15,0.081,10.426,95.431,2.951888796,1.048111204,4,0.054908495,0.072259452,0,0.322455695,0.002572939,2.485390897,2.937587478,7.75E-05,0.011358567,0.961995296,0,7.911018834,0.414708564,0.018387729,1.566903707,0.05524501,0.007167512,0,0,0,0,0.937587478,0.789985901,0.102493114,0.039928165,0.005180297,0.062412522,,,,,
EDC08,177,EDC08#2 29 EDC08#2-feathery_bt-29 ,40.874,23.144,0,0.014,0.018,0,0.023,0.1,0.016,0.004,13.013,1.7,0.041,5.454,0.054,1.316,0.147,0.072,10.545,95.786,2.94563333,1.05436667,4,0.050873073,0.071348122,0,0.3287052,0.003296128,2.486413897,2.940636421,0,0.010060072,0.969464439,0,7.920160931,0.387457607,0.017954952,1.594587441,0.052432037,0.006931542,0,0,0,0,0.940636421,0.785635706,0.103861446,0.045168032,0.005971237,0.059363579,,,,,
